mode,query,rep,time_seconds
baseline,q1.1,1,0.013948
baseline,q1.1,2,0.012981
baseline,q1.1,3,0.013822
baseline,q1.1,4,0.013258
baseline,q1.1,5,0.012868
baseline,q1.2,1,0.013020
baseline,q1.2,2,0.013501
baseline,q1.2,3,0.013156
baseline,q1.2,4,0.013027
baseline,q1.2,5,0.014046
baseline,q1.3,1,0.013389
baseline,q1.3,2,0.013058
baseline,q1.3,3,0.013188
baseline,q1.3,4,0.013076
baseline,q1.3,5,0.013626
baseline,q2.1,1,0.014050
baseline,q2.1,2,0.014456
baseline,q2.1,3,0.014151
baseline,q2.1,4,0.013955
baseline,q2.1,5,0.014145
baseline,q2.2,1,0.014002
baseline,q2.2,2,0.013921
baseline,q2.2,3,0.013798
baseline,q2.2,4,0.013769
baseline,q2.2,5,0.013871
baseline,q2.3,1,0.014021
baseline,q2.3,2,0.013591
baseline,q2.3,3,0.014088
baseline,q2.3,4,0.013919
baseline,q2.3,5,0.014408
baseline,q3.1,1,0.014725
baseline,q3.1,2,0.014664
baseline,q3.1,3,0.014260
baseline,q3.1,4,0.018656
baseline,q3.1,5,0.014289
baseline,q3.2,1,0.014336
baseline,q3.2,2,0.014290
baseline,q3.2,3,0.014556
baseline,q3.2,4,0.015088
baseline,q3.2,5,0.014908
baseline,q3.3,1,0.014901
baseline,q3.3,2,0.014316
baseline,q3.3,3,0.014476
baseline,q3.3,4,0.014887
baseline,q3.3,5,0.014939
baseline,q3.4,1,0.014656
baseline,q3.4,2,0.014214
baseline,q3.4,3,0.014484
baseline,q3.4,4,0.014642
baseline,q3.4,5,0.014980
baseline,q4.1,1,0.014526
baseline,q4.1,2,0.014652
baseline,q4.1,3,0.014676
baseline,q4.1,4,0.014816
baseline,q4.1,5,0.014735
baseline,q4.2,1,0.014883
baseline,q4.2,2,0.014818
baseline,q4.2,3,0.015424
baseline,q4.2,4,0.015308
baseline,q4.2,5,0.015732
baseline,q4.3,1,0.015505
baseline,q4.3,2,0.015218
baseline,q4.3,3,0.014641
baseline,q4.3,4,0.015079
baseline,q4.3,5,0.014682
