mode,query,rep,peak_memory_bytes,peak_memory_mb,status
baseline,q1.1,1,38535168,36.75,success
baseline,q1.1,2,38666240,36.88,success
baseline,q1.1,3,39059456,37.25,success
baseline,q1.2,1,38666240,36.88,success
baseline,q1.2,2,38141952,36.38,success
baseline,q1.2,3,39321600,37.50,success
baseline,q1.3,1,38535168,36.75,success
baseline,q1.3,2,38535168,36.75,success
baseline,q1.3,3,38666240,36.88,success
baseline,q2.1,1,39321600,37.50,success
baseline,q2.1,2,39321600,37.50,success
baseline,q2.1,3,39190528,37.38,success
baseline,q2.2,1,39190528,37.38,success
baseline,q2.2,2,39321600,37.50,success
baseline,q2.2,3,39190528,37.38,success
baseline,q2.3,1,39190528,37.38,success
baseline,q2.3,2,39452672,37.62,success
baseline,q2.3,3,39190528,37.38,success
baseline,q3.1,1,39583744,37.75,success
baseline,q3.1,2,39321600,37.50,success
baseline,q3.1,3,39452672,37.62,success
baseline,q3.2,1,39321600,37.50,success
baseline,q3.2,2,39321600,37.50,success
baseline,q3.2,3,39452672,37.62,success
baseline,q3.3,1,39059456,37.25,success
baseline,q3.3,2,39321600,37.50,success
baseline,q3.3,3,39714816,37.88,success
baseline,q3.4,1,39321600,37.50,success
baseline,q3.4,2,39452672,37.62,success
baseline,q3.4,3,39452672,37.62,success
baseline,q4.1,1,39321600,37.50,success
baseline,q4.1,2,39714816,37.88,success
baseline,q4.1,3,39714816,37.88,success
baseline,q4.2,1,39714816,37.88,success
baseline,q4.2,2,39976960,38.12,success
baseline,q4.2,3,39976960,38.12,success
baseline,q4.3,1,40239104,38.38,success
baseline,q4.3,2,39845888,38.00,success
baseline,q4.3,3,39452672,37.62,success
