mode,query,rep,peak_memory_bytes,peak_memory_mb,status
rpt,q1.1,1,38404096,36.62,success
rpt,q1.1,2,38273024,36.50,success
rpt,q1.1,3,38666240,36.88,success
rpt,q1.2,1,38666240,36.88,success
rpt,q1.2,2,38273024,36.50,success
rpt,q1.2,3,39321600,37.50,success
rpt,q1.3,1,38928384,37.12,success
rpt,q1.3,2,38928384,37.12,success
rpt,q1.3,3,38666240,36.88,success
rpt,q2.1,1,39583744,37.75,success
rpt,q2.1,2,39583744,37.75,success
rpt,q2.1,3,38797312,37.00,success
rpt,q2.2,1,39452672,37.62,success
rpt,q2.2,2,39583744,37.75,success
rpt,q2.2,3,39321600,37.50,success
rpt,q2.3,1,39321600,37.50,success
rpt,q2.3,2,39321600,37.50,success
rpt,q2.3,3,39583744,37.75,success
rpt,q3.1,1,39452672,37.62,success
rpt,q3.1,2,39321600,37.50,success
rpt,q3.1,3,39190528,37.38,success
rpt,q3.2,1,39190528,37.38,success
rpt,q3.2,2,39714816,37.88,success
rpt,q3.2,3,39321600,37.50,success
rpt,q3.3,1,39321600,37.50,success
rpt,q3.3,2,39452672,37.62,success
rpt,q3.3,3,39321600,37.50,success
rpt,q3.4,1,39059456,37.25,success
rpt,q3.4,2,39321600,37.50,success
rpt,q3.4,3,39321600,37.50,success
rpt,q4.1,1,39845888,38.00,success
rpt,q4.1,2,39583744,37.75,success
rpt,q4.1,3,39452672,37.62,success
rpt,q4.2,1,39583744,37.75,success
rpt,q4.2,2,40108032,38.25,success
rpt,q4.2,3,40239104,38.38,success
rpt,q4.3,1,39845888,38.00,success
rpt,q4.3,2,39714816,37.88,success
rpt,q4.3,3,39714816,37.88,success
