mode,query,rep,time_seconds
rpt,q1.1,1,0.306046
rpt,q1.1,2,0.297060
rpt,q1.1,3,0.307174
rpt,q1.1,4,0.300315
rpt,q1.1,5,0.301734
rpt,q1.2,1,0.296398
rpt,q1.2,2,0.298594
rpt,q1.2,3,0.296769
rpt,q1.2,4,0.305667
rpt,q1.2,5,0.297715
rpt,q1.3,1,0.298407
rpt,q1.3,2,0.301556
rpt,q1.3,3,0.296539
rpt,q1.3,4,0.298858
rpt,q1.3,5,0.296920
rpt,q2.1,1,0.362224
rpt,q2.1,2,0.360088
rpt,q2.1,3,0.363554
rpt,q2.1,4,0.367204
rpt,q2.1,5,0.364565
rpt,q2.2,1,0.333134
rpt,q2.2,2,0.334911
rpt,q2.2,3,0.333762
rpt,q2.2,4,0.332134
rpt,q2.2,5,0.333729
rpt,q2.3,1,0.322400
rpt,q2.3,2,0.322446
rpt,q2.3,3,0.322678
rpt,q2.3,4,0.326667
rpt,q2.3,5,0.322914
rpt,q3.1,1,0.442903
rpt,q3.1,2,0.439195
rpt,q3.1,3,0.439788
rpt,q3.1,4,0.443120
rpt,q3.1,5,0.455253
rpt,q3.2,1,0.336012
rpt,q3.2,2,0.337797
rpt,q3.2,3,0.335138
rpt,q3.2,4,0.335583
rpt,q3.2,5,0.332666
rpt,q3.3,1,0.315467
rpt,q3.3,2,0.312717
rpt,q3.3,3,0.310700
rpt,q3.3,4,0.312865
rpt,q3.3,5,0.319553
rpt,q3.4,1,0.278186
rpt,q3.4,2,0.275516
rpt,q3.4,3,0.278331
rpt,q3.4,4,0.277856
rpt,q3.4,5,0.275333
rpt,q4.1,1,0.485829
rpt,q4.1,2,0.491333
rpt,q4.1,3,0.487992
rpt,q4.1,4,0.490775
rpt,q4.1,5,0.485217
rpt,q4.2,1,0.452044
rpt,q4.2,2,0.447190
rpt,q4.2,3,0.448823
rpt,q4.2,4,0.452284
rpt,q4.2,5,0.446443
rpt,q4.3,1,0.395865
rpt,q4.3,2,0.399921
rpt,q4.3,3,0.401832
rpt,q4.3,4,0.397392
rpt,q4.3,5,0.395323
