mode,query,rep,time_seconds
rpt,q1.1,1,0.165310
rpt,q1.1,2,0.164795
rpt,q1.1,3,0.165841
rpt,q1.1,4,0.164818
rpt,q1.1,5,0.164448
rpt,q1.2,1,0.156832
rpt,q1.2,2,0.162025
rpt,q1.2,3,0.158301
rpt,q1.2,4,0.157112
rpt,q1.2,5,0.157807
rpt,q1.3,1,0.159832
rpt,q1.3,2,0.158056
rpt,q1.3,3,0.157899
rpt,q1.3,4,0.158469
rpt,q1.3,5,0.156969
rpt,q1.1,1,0.163599
rpt,q1.1,2,0.165057
rpt,q1.1,3,0.163910
rpt,q1.1,4,0.162374
rpt,q1.1,5,0.162293
rpt,q1.2,1,0.157902
rpt,q1.2,2,0.157182
rpt,q1.2,3,0.158518
rpt,q1.2,4,0.156778
rpt,q1.2,5,0.156655
rpt,q1.3,1,0.156240
rpt,q1.3,2,0.155445
rpt,q1.3,3,0.155315
rpt,q1.3,4,0.155752
rpt,q1.3,5,0.155203
rpt,q2.1,1,0.193855
rpt,q2.1,2,0.190499
rpt,q2.1,3,0.190808
rpt,q2.1,4,0.190467
rpt,q2.1,5,0.191271
rpt,q2.2,1,0.175817
rpt,q2.2,2,0.173221
rpt,q2.2,3,0.174786
rpt,q2.2,4,0.175207
rpt,q2.2,5,0.177974
rpt,q2.3,1,0.167110
rpt,q2.3,2,0.167010
rpt,q2.3,3,0.168038
rpt,q2.3,4,0.168620
rpt,q2.3,5,0.169054
rpt,q3.1,1,0.233121
rpt,q3.1,2,0.232534
rpt,q3.1,3,0.232772
rpt,q3.1,4,0.232334
rpt,q3.1,5,0.233321
rpt,q3.2,1,0.176079
rpt,q3.2,2,0.177982
rpt,q3.2,3,0.178084
rpt,q3.2,4,0.176815
rpt,q3.2,5,0.196020
rpt,q3.3,1,0.176091
rpt,q3.3,2,0.175014
rpt,q3.3,3,0.174024
rpt,q3.3,4,0.175949
rpt,q3.3,5,0.172640
rpt,q3.4,1,0.156712
rpt,q3.4,2,0.154351
rpt,q3.4,3,0.154761
rpt,q3.4,4,0.156223
rpt,q3.4,5,0.155983
rpt,q4.1,1,0.300633
rpt,q4.1,2,0.298026
rpt,q4.1,3,0.308977
rpt,q4.1,4,0.287901
rpt,q4.1,5,0.286705
rpt,q4.2,1,0.244111
rpt,q4.2,2,0.244068
rpt,q4.2,3,0.241627
rpt,q4.2,4,0.246842
rpt,q4.2,5,0.245598
rpt,q4.3,1,0.209582
rpt,q4.3,2,0.215573
rpt,q4.3,3,0.214364
rpt,q4.3,4,0.213585
rpt,q4.3,5,0.215650
rpt,q1.1,1,0.163560
rpt,q1.1,2,0.164219
rpt,q1.1,3,0.164874
rpt,q1.1,4,0.165390
rpt,q1.1,5,0.165629
rpt,q1.2,1,0.158981
rpt,q1.2,2,0.159428
rpt,q1.2,3,0.158795
rpt,q1.2,4,0.158263
rpt,q1.2,5,0.158579
rpt,q1.3,1,0.157764
rpt,q1.3,2,0.158227
rpt,q1.3,3,0.158320
rpt,q1.3,4,0.157221
rpt,q1.3,5,0.160079
rpt,q2.1,1,0.194845
rpt,q2.1,2,0.194829
rpt,q2.1,3,0.194503
rpt,q2.1,4,0.192378
rpt,q2.1,5,0.195622
rpt,q2.2,1,0.178088
rpt,q2.2,2,0.178588
rpt,q2.2,3,0.178037
rpt,q2.2,4,0.178042
rpt,q2.2,5,0.176773
rpt,q2.3,1,0.172152
rpt,q2.3,2,0.169986
rpt,q2.3,3,0.170184
rpt,q2.3,4,0.169477
rpt,q2.3,5,0.172392
rpt,q3.1,1,0.232479
rpt,q3.1,2,0.236297
rpt,q3.1,3,0.236746
rpt,q3.1,4,0.239478
rpt,q3.1,5,0.234538
rpt,q3.2,1,0.182928
rpt,q3.2,2,0.180300
rpt,q3.2,3,0.179697
rpt,q3.2,4,0.180391
rpt,q3.2,5,0.178152
rpt,q3.3,1,0.169183
rpt,q3.3,2,0.168639
rpt,q3.3,3,0.168390
rpt,q3.3,4,0.168698
rpt,q3.3,5,0.169036
rpt,q3.4,1,0.146997
rpt,q3.4,2,0.147794
rpt,q3.4,3,0.149993
rpt,q3.4,4,0.147341
rpt,q3.4,5,0.149094
rpt,q4.1,1,0.288977
rpt,q4.1,2,0.313634
rpt,q4.1,3,0.294215
rpt,q4.1,4,0.297148
rpt,q4.1,5,0.289186
rpt,q4.2,1,0.246523
rpt,q4.2,2,0.248708
rpt,q4.2,3,0.255558
rpt,q4.2,4,0.252374
rpt,q4.2,5,0.246777
rpt,q4.3,1,0.215909
rpt,q4.3,2,0.216212
rpt,q4.3,3,0.215615
rpt,q4.3,4,0.216859
rpt,q4.3,5,0.213038
