mode,query,rep,time_seconds
baseline,q1.1,1,0.164556
baseline,q1.1,2,0.173557
baseline,q1.1,3,0.164021
baseline,q1.1,4,0.165077
baseline,q1.1,5,0.163556
baseline,q1.2,1,0.160232
baseline,q1.2,2,0.160679
baseline,q1.2,3,0.157761
baseline,q1.2,4,0.160098
baseline,q1.2,5,0.157822
baseline,q1.3,1,0.156324
baseline,q1.3,2,0.158479
baseline,q1.3,3,0.158089
baseline,q1.3,4,0.158321
baseline,q1.3,5,0.158454
baseline,q2.1,1,0.228165
baseline,q2.1,2,0.228424
baseline,q2.1,3,0.370327
baseline,q2.1,4,0.230062
baseline,q2.1,5,0.245657
baseline,q2.2,1,0.354965
baseline,q2.2,2,0.296593
baseline,q2.2,3,0.190986
baseline,q2.2,4,0.283510
baseline,q2.2,5,0.189815
baseline,q2.3,1,0.284148
baseline,q2.3,2,0.341768
baseline,q2.3,3,0.177254
baseline,q2.3,4,0.177277
baseline,q2.3,5,0.178064
baseline,q3.1,1,0.266718
baseline,q3.1,2,0.332435
baseline,q3.1,3,0.379707
baseline,q3.1,4,0.268232
baseline,q3.1,5,0.270629
baseline,q3.2,1,0.273366
baseline,q3.2,2,0.188027
baseline,q3.2,3,0.288392
baseline,q3.2,4,0.287879
baseline,q3.2,5,0.188383
baseline,q3.3,1,0.162122
baseline,q3.3,2,0.165888
baseline,q3.3,3,0.245069
baseline,q3.3,4,0.161641
baseline,q3.3,5,0.165096
baseline,q3.4,1,0.156284
baseline,q3.4,2,0.163549
baseline,q3.4,3,0.167137
baseline,q3.4,4,0.164591
baseline,q3.4,5,0.160377
baseline,q4.1,1,0.579179
baseline,q4.1,2,0.477202
baseline,q4.1,3,0.490101
baseline,q4.1,4,0.575925
baseline,q4.1,5,0.482256
baseline,q4.2,1,0.351325
baseline,q4.2,2,0.325738
baseline,q4.2,3,0.320050
baseline,q4.2,4,0.466605
baseline,q4.2,5,0.416873
baseline,q4.3,1,0.298693
baseline,q4.3,2,0.262478
baseline,q4.3,3,0.269830
baseline,q4.3,4,0.267929
baseline,q4.3,5,0.285062
baseline,q1.1,1,0.165337
baseline,q1.1,2,0.167636
baseline,q1.1,3,0.165308
baseline,q1.1,4,0.163985
baseline,q1.1,5,0.163899
baseline,q1.2,1,0.158840
baseline,q1.2,2,0.174056
baseline,q1.2,3,0.160810
baseline,q1.2,4,0.160417
baseline,q1.2,5,0.162726
baseline,q1.3,1,0.158134
baseline,q1.3,2,0.159374
baseline,q1.3,3,0.158694
baseline,q1.3,4,0.162243
baseline,q1.3,5,0.158620
baseline,q2.1,1,0.248483
baseline,q2.1,2,0.260228
baseline,q2.1,3,0.326589
baseline,q2.1,4,0.259799
baseline,q2.1,5,0.376431
baseline,q2.2,1,0.293800
baseline,q2.2,2,0.322811
baseline,q2.2,3,0.353676
baseline,q2.2,4,0.194436
baseline,q2.2,5,0.284846
baseline,q2.3,1,0.178995
baseline,q2.3,2,0.264664
baseline,q2.3,3,0.344224
baseline,q2.3,4,0.178545
baseline,q2.3,5,0.344901
baseline,q3.1,1,0.360969
baseline,q3.1,2,0.385201
baseline,q3.1,3,0.306293
baseline,q3.1,4,0.293631
baseline,q3.1,5,0.334390
baseline,q3.2,1,0.288593
baseline,q3.2,2,0.291435
baseline,q3.2,3,0.277348
baseline,q3.2,4,0.200160
baseline,q3.2,5,0.201646
baseline,q3.3,1,0.168499
baseline,q3.3,2,0.245620
baseline,q3.3,3,0.246031
baseline,q3.3,4,0.162813
baseline,q3.3,5,0.163774
baseline,q3.4,1,0.153985
baseline,q3.4,2,0.154831
baseline,q3.4,3,0.157190
baseline,q3.4,4,0.160337
baseline,q3.4,5,0.166058
baseline,q4.1,1,0.489362
baseline,q4.1,2,0.625283
baseline,q4.1,3,0.620228
baseline,q4.1,4,0.389010
baseline,q4.1,5,0.388265
baseline,q4.2,1,0.358750
baseline,q4.2,2,0.364272
baseline,q4.2,3,0.417276
baseline,q4.2,4,0.388509
baseline,q4.2,5,0.371735
baseline,q4.3,1,0.254858
baseline,q4.3,2,0.297107
baseline,q4.3,3,0.278899
baseline,q4.3,4,0.259851
baseline,q4.3,5,0.297095
